race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,01115,01115,WRI,85.0,44346.0,0.0019167455914851396
President,01117,01117,REP,79428.0,114439.0,0.6940640865439229
President,01117,01117,DEM,33036.0,114439.0,0.28867781088614897
President,01117,01117,LIB,1456.0,114439.0,0.01272293536294445
President,01117,01117,WRI,519.0,114439.0,0.004535167206983633
President,01009,01009,REP,24595.0,27459.0,0.8956990422083834
President,01009,01009,DEM,2627.0,27459.0,0.09566990786263156
President,01009,01009,LIB,209.0,27459.0,0.007611347827670345
President,01009,01009,WRI,28.0,27459.0,0.0010197021013146873
President,01119,01119,DEM,4639.0,6282.0,0.7384590894619548
President,01119,01119,REP,1598.0,6282.0,0.25437758675581024
President,01119,01119,LIB,37.0,6282.0,0.00588984399872652
President,01119,01119,WRI,8.0,6282.0,0.0012734797835084368
President,01121,01121,REP,22210.0,35591.0,0.6240341659408277
President,01121,01121,DEM,13092.0,35591.0,0.36784580371442216
President,01121,01121,LIB,246.0,35591.0,0.0069118597398218655
President,01121,01121,WRI,43.0,35591.0,0.0012081706049282123
President,01123,01123,REP,14905.0,20888.0,0.7135675986212179
President,01123,01123,DEM,5815.0,20888.0,0.2783895059364228
President,01123,01123,LIB,129.0,20888.0,0.00617579471466871
President,01123,01123,WRI,39.0,20888.0,0.00186710072769054
President,01125,01125,REP,50961.0,89760.0,0.5677473262032086
President,01125,01125,DEM,37514.0,89760.0,0.41793672014260247
President,01125,01125,LIB,923.0,89760.0,0.010282976827094474
President,01125,01125,WRI,362.0,89760.0,0.004032976827094474
President,01127,01127,REP,25947.0,31106.0,0.8341477528451102
President,01127,01127,DEM,4826.0,31106.0,0.15514691699350608
President,01127,01127,LIB,276.0,31106.0,0.008872886259885552
President,01127,01127,WRI,57.0,31106.0,0.0018324439014981032
President,01129,01129,REP,6554.0,8861.0,0.7396456381898205
President,01129,01129,DEM,2253.0,8861.0,0.2542602415077305
President,01129,01129,LIB,45.0,8861.0,0.005078433585374111
President,01129,01129,WRI,9.0,8861.0,0.0010156867170748223
President,01131,01131,DEM,4036.0,5884.0,0.6859279401767505
President,01131,01131,REP,1826.0,5884.0,0.31033310673011555
President,01131,01131,LIB,17.0,5884.0,0.0028891910265125766
President,01131,01131,WRI,5.0,5884.0,0.000849762066621346
President,01133,01133,REP,10187.0,11273.0,0.9036636210414264
