"Rank","City","County","Average VantageScore 3.0 Credit Score",""
"722","Marienville","Forest County","688",""
"723","New Galilee","Lawrence County","688",""
"724","Towanda","Bradford County","688",""
"725","Mount Holly Springs","Cumberland County","688",""
"726","Gallitzin","Cambria County","688",""
"727","Petrolia","Butler County","688",""
"728","Tower City","Schuylkill County","687",""
"729","Franklin","Venango County","687",""
"730","Kunkletown","Monroe County","687",""
"731","Ellwood City","Lawrence County","687",""
"732","Herminie","Westmoreland County","687",""
"733","Ridley Park","Delaware County","687",""
"734","Hyndman","Bedford County","687",""
"735","Clymer","Indiana County","687",""
"736","Adamstown","Lancaster County","687",""
"737","New Castle","Lawrence County","687",""
"738","Philipsburg","Centre County","687",""
"739","Gouldsboro","Lackawanna County","687",""
"740","Cresson","Cambria County","687",""
"741","Hooversville","Somerset County","687",""
"742","Commodore","Indiana County","687",""
"743","Stroudsburg","Monroe County","687",""
"744","Linesville","Crawford County","687",""
"745","Fallentimber","Cambria County","687",""
"746","Irvona","Clearfield County","687",""
"747","Drexel Hill","Delaware County","686",""
"748","West Alexander","Washington County","686",""
"749","Youngsville","Warren County","686",""
"750","Vanderbilt","Fayette County","686",""
"751","Warren","Warren County","686",""
"752","West Mifflin","Allegheny County","686",""
"753","Mifflin","Juniata County","686",""
"754","Canton","Bradford County","686",""
"755","Emporium","Cameron County","686",""
"756","Summit Hill","Carbon County","686",""
"757","Beech Creek","Clinton County","686",""
"758","Mc Sherrystown","Adams County","686",""
"759","Verona","Allegheny County","686",""
"760","Tarentum","Allegheny County","686",""
"761","Fayette City","Fayette County","686",""
"762","East Springfield","Erie County","686",""
"763","Houtzdale","Clearfield County","685",""
"764","Tidioute","Warren County","685",""
"765","Tamaqua","Schuylkill County","685",""
"766","Westfield","Tioga County","685",""
"767","Lebanon","Lebanon County","685",""
"768","York","York County","685",""
"769","Montgomery","Lycoming County","685",""
"770","East Freedom","Blair County","685",""
"771","Union City","Erie County","685",""
"772","Parker","Clarion County","685",""
"773","Columbia","Lancaster County","684",""
"774","York Haven","York County","684",""
"775","Greentown","Pike County","684",""
"776","Genesee","Potter County","684",""
"777","Norristown","Montgomery County","684",""
"778","Washington","Washington County","684",""
"779","Osceola Mills","Clearfield County","684",""
"780","Claysville","Washington County","684",""
"781","Middletown","Dauphin County","684",""
"782","Spartansburg","Crawford County","684",""
"783","Seward","Indiana County","684",""
"784","Sunbury","Northumberland County","684",""
"785","New Brighton","Beaver County","684",""
"786","Canadensis","Monroe County","684",""
"787","Albion","Erie County","684",""
"788","Shinglehouse","Potter County","684",""
"789","Temple","Berks County","683",""
"790","Windsor","York County","683",""
"791","Tannersville","Monroe County","683",""
"792","Lewistown","Mifflin County","683",""
"793","Pittston","Luzerne County","683",""
"794","Coatesville","Chester County","683",""
"795","Delta","York County","683",""
"796","Derry","Westmoreland County","683",""
"797","Titusville","Crawford County","682",""
"798","Youngwood","Westmoreland County","682",""
"799","Sciota","Monroe County","682",""
"800","North Versailles","Allegheny County","682",""
"801","Old Forge","Lackawanna County","682",""
"802","Daisytown","Washington County","682",""
"803","Vandergrift","Armstrong County","682",""
"804","Jessup","Lackawanna County","682",""
"805","Breezewood","Bedford County","682",""
"806","Cairnbrook","Somerset County","682",""
"807","Lykens","Dauphin County","682",""
"808","Brodheadsville","Monroe County","682",""
"809","Bellwood","Blair County","681",""
"810","Altoona","Blair County","681",""
"811","Pottsville","Schuylkill County","681",""
"812","Oil City","Venango County","681",""
"813","Sheffield","Warren County","681",""
"814","Lock Haven","Clinton County","681",""
"815","Nanty Glo","Cambria County","681",""
"816","Laceyville","Bradford County","681",""
"817","Orbisonia","Huntingdon County","681",""
"818","Smethport","McKean County","681",""
"819","Lake City","Erie County","681",""
"820","Matamoras","Pike County","681",""
"821","Noxen","Wyoming County","681",""
"822","Claysburg","Blair County","681",""
"823","Milroy","Mifflin County","681",""
"824","Avis","Clinton County","681",""
"825","Clearfield","Clearfield County","681",""
"826","Manchester","York County","681",""
"827","Mont Alto","Franklin County","681",""
"828","Athens","Bradford County","680",""
"829","Bentleyville","Washington County","680",""
"830","Hilliards","Butler County","680",""
"831","Covington","Tioga County","680",""
"832","Karthaus","Clearfield County","680",""
"833","Rimersburg","Clarion County","680",""
"834","New Philadelphia","Schuylkill County","679",""
"835","Charleroi","Washington County","679",""
"836","Northern Cambria","Cambria County","679",""
"837","Lewis Run","McKean County","679",""
"838","Fredericktown","Washington County","679",""
"839","Mill Run","Fayette County","679",""
"840","Rossiter","Indiana County","679",""
"841","Homestead","Allegheny County","679",""
