"Rank","City","State","VantageScore 3.0 Credit Score"
"295","Orange","California","702"
"296","Pinole","California","702"
"297","Santa Rosa","California","701"
"298","Julian","California","701"
"299","Cobb","California","701"
"300","Discovery Bay","California","700"
"301","Glendale","California","700"
"302","Brentwood","California","700"
"303","Westminster","California","700"
"304","Ventura","California","700"
"305","Mariposa","California","699"
"306","Mckinleyville","California","699"
"307","Cotati","California","699"
"308","Valley Village","California","698"
"309","Fallbrook","California","698"
"310","Santee","California","698"
"311","Tujunga","California","697"
"312","Fullerton","California","697"
"313","Springville","California","697"
"314","Valley Center","California","697"
"315","Lake Arrowhead","California","697"
"316","Westwood","California","697"
"317","San Lorenzo","California","697"
"318","Mokelumne Hill","California","697"
"319","Tustin","California","696"
"320","Monrovia","California","695"
"321","Georgetown","California","695"
"322","Concord","California","695"
"323","La Mesa","California","695"
"324","Lakewood","California","695"
"325","San Diego","California","694"
"326","Hidden Valley Lake","California","694"
"327","San Martin","California","694"
"328","Oak View","California","694"
"329","Weed","California","694"
"330","Ramona","California","694"
"331","Lake Hughes","California","694"
"332","North Fork","California","693"
"333","Rohnert Park","California","693"
"334","Duarte","California","693"
"335","Winters","California","693"
"336","Escalon","California","693"
"337","El Sobrante","California","693"
"338","Emeryville","California","693"
"339","Paso Robles","California","692"
"340","Tehachapi","California","692"
"341","Somerset","California","692"
"342","La Grange","California","692"
"343","Lockeford","California","691"
"344","Chico","California","691"
"345","Clovis","California","691"
"346","Quincy","California","691"
"347","Janesville","California","691"
"348","Edwards","California","691"
"349","Fort Bragg","California","691"
"350","San Leandro","California","691"
"351","Temecula","California","691"
"352","Acampo","California","691"
"353","Vacaville","California","690"
"354","Hughson","California","690"
"355","Carmichael","California","690"
"356","Woodland","California","690"
"357","Redlands","California","690"
"358","Sonora","California","689"
"359","Dixon","California","689"
"360","Guerneville","California","689"
"361","Garden Grove","California","689"
"362","Pollock Pines","California","689"
"363","Auberry","California","689"
"364","Rancho Cucamonga","California","689"
"365","Costa Mesa","California","689"
"366","Redding","California","688"
"367","Valley Springs","California","688"
"368","Jackson","California","688"
"369","Lomita","California","688"
"370","Loma Linda","California","688"
"371","Northridge","California","688"
"372","Montague","California","687"
"373","Crockett","California","687"
"374","Oakdale","California","687"
"375","Oakhurst","California","687"
"376","San Juan Bautista","California","686"
"377","Tollhouse","California","686"
"378","Garberville","California","686"
"379","Rancho Cordova","California","686"
"380","West Sacramento","California","686"
"381","Gilroy","California","686"
"382","Denair","California","686"
"383","Avalon","California","685"
"384","Tracy","California","685"
"385","Ione","California","685"
"386","Paradise","California","685"
"387","Elverta","California","685"
"388","Diamond Springs","California","685"
"389","Artesia","California","685"
"390","Corona","California","685"
"391","Upland","California","685"
"392","Beaumont","California","684"
"393","Escondido","California","684"
"394","Galt","California","684"
"395","Copperopolis","California","684"
"396","Twin Peaks","California","684"
"397","Oceanside","California","684"
"398","Antelope","California","684"
"399","Orland","California","684"
"400","La Habra","California","683"
"401","Grover Beach","California","683"
"402","American Canyon","California","683"
"403","Walnut Grove","California","683"
"404","Arbuckle","California","683"
"405","Buena Park","California","683"
"406","Oakland","California","683"
"407","Pine Mountain Club","California","683"
"408","Murrieta","California","683"
"409","Hilmar","California","683"
"410","Eureka","California","683"
"411","Newhall","California","683"
"412","Fortuna","California","683"
"413","Winnetka","California","683"
"414","San Pedro","California","682"
"415","Lodi","California","682"
"416","Pauma Valley","California","682"
"417","Yucaipa","California","682"
"418","West Covina","California","682"
"419","Norco","California","682"
"420","Yuba City","California","682"
"421","Ridgecrest","California","681"
"422","Esparto","California","681"
"423","Harbor City","California","681"
"424","Signal Hill","California","681"
"425","Laytonville","California","680"
"426","Canyon Country","California","680"
"427","Arcata","California","680"
"428","Vista","California","680"
"429","Calimesa","California","680"
"430","Frazier Park","California","680"
"431","San Miguel","California","680"
"432","Williams","California","680"
"433","Tuolumne","California","680"
"434","Hollister","California","679"
"435","Chino","California","679"
"436","Palm Springs","California","679"
"437","Cottonwood","California","679"
"438","Kelseyville","California","679"
"439","Middletown","California","679"
"440","Sutter","California","679"
"441","South Lake Tahoe","California","679"
"442","Aguanga","California","679"
"443","Knights Landing","California","679"
"444","Hayward","California","679"
"445","Travis Afb","California","679"
"446","Lone Pine","California","679"
"447","Chula Vista","California","678"
"448","Menifee","California","678"
"449","Inyokern","California","678"
"450","Hamilton City","California","678"
"451","Covina","California","678"
"452","Fairfield","California","678"
"453","El Cajon","California","678"
"454","Willits","California","678"
"455","Lakeport","California","678"
"456","Quail Valley","California","678"
"457","Thousand Palms","California","678"
"458","Ukiah","California","678"
"459","Big Bear Lake","California","677"
"460","Lakeside","California","677"
"461","Willows","California","677"
"462","Weaverville","California","677"
"463","Pearblossom","California","677"
"464","Canoga Park","California","677"
"465","Anaheim","California","677"
"466","Manteca","California","677"
"467","Exeter","California","677"
"468","Banning","California","677"
"469","Winchester","California","677"
"470","Turlock","California","677"
"471","Kingsburg","California","677"
"472","Red Bluff","California","676"
"473","Gardena","California","676"
"474","Live Oak","California","676"
"475","Yreka","California","676"
"476","Alturas","California","676"
"477","Coulterville","California","676"
"478","Watsonville","California","676"
"479","Running Springs","California","676"
"480","Squaw Valley","California","676"
"481","Oakley","California","676"
"482","Colusa","California","676"
"483","Marina","California","676"
"484","Santa Fe Springs","California","676"
"485","Magalia","California","676"
"486","Gridley","California","676"
"487","San Andreas","California","676"
"488","Reseda","California","676"
"489","Midway City","California","676"
"490","Helendale","California","676"
"491","Riverbank","California","676"
"492","Crescent City","California","675"
"493","Bethel Island","California","675"
"494","Stanton","California","675"
"495","Wheatland","California","675"
"496","Livingston","California","675"
"497","Whittier","California","675"
"498","Burney","California","675"
"499","Santa Maria","California","675"
"500","Salida","California","675"
"501","Jamestown","California","675"
"502","Le Grand","California","675"
"503","Wofford Heights","California","675"
"504","Mission Hills","California","674"
"505","Big Bear City","California","674"
"506","Rodeo","California","674"
"507","Grand Terrace","California","674"
"508","Biggs","California","674"
"509","Lower Lake","California","674"
"510","West Point","California","674"
"511","Susanville","California","674"
"512","Anderson","California","674"
"513","Atwater","California","673"
"514","Lompoc","California","673"
"515","Freedom","California","673"
"516","North Hollywood","California","673"
"517","Van Nuys","California","673"
"518","Carson","California","673"
"519","Citrus Heights","California","673"
"520","Wildomar","California","673"
"521","Los Molinos","California","673"
"522","Fillmore","California","672"
"523","Crestline","California","672"
"524","North Hills","California","672"
"525","Sun Valley","California","672"
"526","Sun City","California","672"
"527","Mentone","California","672"
"528","Sylmar","California","671"
"529","Pico Rivera","California","671"
"530","Terra Bella","California","671"
"531","Clearlake Oaks","California","671"
"532","Downey","California","671"
"533","Seaside","California","671"
"534","Suisun City","California","671"
"535","Norwalk","California","671"
"536","Imperial","California","671"
"537","Highland","California","670"
"538","Rio Linda","California","670"
"539","Lawndale","California","670"
"540","Pinon Hills","California","670"
"541","Upper Lake","California","670"
"542","Santa Ana","California","670"
"543","Gustine","California","670"
"544","Covelo","California","670"
"545","Holtville","California","669"
"546","Lemon Grove","California","669"
"547","Hayfork","California","669"
"548","Anza","California","669"
"549","Oceano","California","669"
"550","Tulelake","California","669"
"551","Pacoima","California","669"
"552","Gonzales","California","669"
"553","Dunsmuir","California","669"
"554","Sacramento","California","668"
"555","Gerber","California","668"
"556","Baldwin Park","California","668"
"557","Corning","California","668"
"558","Mira Loma","California","668"
"559","Los Angeles","California","668"
"560","Port Hueneme","California","668"
"561","Fowler","California","667"
"562","Visalia","California","667"
"563","Santa Paula","California","667"
"564","Portola","California","667"
"565","Laton","California","667"
"566","El Monte","California","667"
"567","Waterford","California","667"
"568","Spring Valley","California","667"
"569","Lake Isabella","California","667"
"570","Reedley","California","667"
"571","La Puente","California","666"
"572","Castroville","California","666"
"573","Nuevo","California","666"
"574","South El Monte","California","666"
"575","Camp Pendleton","California","665"
"576","Montebello","California","665"
"577","Azusa","California","665"
"578","Lathrop","California","665"
"579","Salinas","California","665"
"580","Riverside","California","665"
"581","Newberry Springs","California","665"
"582","Rio Dell","California","665"
"583","South Gate","California","664"
"584","San Quentin","California","664"
"585","Cathedral City","California","664"
"586","Morongo Valley","California","664"
"587","Calexico","California","663"
"588","Firebaugh","California","663"
"589","Yucca Valley","California","663"
"590","Shasta Lake","California","663"
"591","Joshua Tree","California","663"
"592","San Fernando","California","663"
"593","Indio","California","663"
"594","Newman","California","663"
"595","Panorama City","California","662"
"596","Dos Palos","California","662"
"597","Apple Valley","California","662"
"598","Heber","California","662"
"599","Delhi","California","662"
"600","Oxnard","California","661"
"601","King City","California","661"
"602","Oroville","California","661"
"603","Modesto","California","661"
"604","Long Beach","California","661"
"605","Ceres","California","661"
"606","Strathmore","California","661"
"607","French Camp","California","661"
"608","Niland","California","661"
"609","Patterson","California","660"
"610","Winton","California","660"
"611","Sanger","California","660"
"612","Rosamond","California","660"
"613","Hawthorne","California","660"
"614","Homeland","California","660"
"615","Madera","California","660"
"616","Lemoore","California","660"
"617","Guadalupe","California","659"
"618","Montclair","California","659"
"619","Kerman","California","659"
"620","San Ysidro","California","658"
"621","Kings Beach","California","658"
"622","Soledad","California","658"
"623","El Centro","California","658"
"624","Tipton","California","658"
"625","Pomona","California","658"
