county_fips,county_population,county_2020_all_cause_deaths_per_100k,county_covid19_deaths_per_100k
1073,658573.0,19243.121111858516,2702.813507386425
1075,13805.0,8620.065193770373,
1077,92729.0,19594.733039286522,2523.4824057198934
1079,32924.0,11268.375653019073,577.0866237395213
1081,164542.0,9353.235040293664,1543.6788175663357
1083,98915.0,10180.457968963252,1021.0787039377242
1085,9726.0,9870.45033929673,
1087,18068.0,9574.939118884216,
1089,372909.0,13906.878085538294,1515.1149476145656
1091,18863.0,16805.386205799714,2173.5673010655782
1093,29709.0,16493.318523006496,2322.528526709078
1095,96774.0,15541.364416062166,1911.6704900076468
1097,413210.0,15887.805232206383,1897.3403354226664
1099,20733.0,12588.626826797858,916.4134471615299
1101,226486.0,17798.00958999673,3121.6057504658124
1103,119679.0,14446.979002164122,1771.405175511159
1105,8923.0,9974.22391572341,
1107,19930.0,9784.244856999498,551.9317611640743
1109,33114.0,11717.09850818385,1872.3198647097904
1111,22722.0,10166.358595194086,572.1327347944723
1113,57961.0,8074.394851710633,569.3483549283138
1115,89512.0,10825.364196979177,1061.3102153901152
1117,217702.0,7873.147697311003,707.3889996417121
1119,12427.0,9254.043614709906,
1121,79978.0,13703.768536347496,1362.874790567406
1123,40367.0,16845.443059925186,2526.816458988778
1125,209355.0,14415.705380812495,2555.4679850015523
1127,63521.0,19489.61760677571,2739.2515860896397
1129,16326.0,8207.766752419453,612.5199068969741
1131,10373.0,8965.583726983514,
1133,23629.0,14008.210250116383,1227.3054297685048
5001,17486.0,13496.511494910215,571.8860802928057
5003,19657.0,11141.069339166708,508.7246273592105
5005,41932.0,26399.885528951636,3076.4094247829817
5007,279141.0,8766.17909945153,1468.7917575705467
5009,37432.0,14105.578114981834,1816.6274845052362
5011,10763.0,11985.505899842052,1672.396172070984
5015,28380.0,9196.61733615222,528.5412262156449
5017,10118.0,12848.389009685709,1976.6752322593395
5019,22320.0,11783.1541218638,1030.4659498207886
5021,14551.0,14363.27400178682,1786.8187753419008
5023,24919.0,13523.817167623098,1083.5105742606042
5025,7956.0,7792.860734037205,
5027,23457.0,13599.352005797844,1961.0350854755509
5029,20846.0,11033.291758610765,
5031,110332.0,24525.976144726825,4359.569299931117
5033,63257.0,8584.030225903853,521.681394944433
5035,47955.0,8841.62235429048,708.9980189761235
5037,16419.0,12363.724952798588,913.575735428467
5039,7009.0,14267.370523612499,1854.7581680696248
5041,11361.0,11354.634275151837,
5043,18219.0,14490.367199077886,987.9795817553103
5045,126007.0,10824.795447871944,1499.916671296039
5047,17715.0,10725.373976855772,1072.5373976855772
5049,12477.0,15628.756912719404,2564.7190831129274
5051,99386.0,22709.43593665104,3189.584046042702
5053,18265.0,7883.9310156036145,602.2447303586093
5055,45325.0,10016.547159404303,1014.892443463872
5057,21532.0,9520.713356864202,743.080066877206
5059,33771.0,10008.587249415179,444.16807319889847
5061,13202.0,12043.629753067718,1211.9375852143614
5063,37825.0,19114.342366159945,4097.818902842036
5065,13629.0,13940.861398488518,1540.8320493066255
5067,16719.0,12859.620790717148,717.7462766911897
5069,66824.0,16535.97509876691,2349.455285526158
5071,26578.0,9632.026488072843,752.5020693806908
5073,6624.0,11171.497584541063,
5075,16406.0,10179.202730708277,1219.0661952944045
5077,8857.0,11516.314779270633,
5079,13024.0,7754.914004914005,1074.938574938575
5081,12259.0,13867.362753895097,2284.0362182886042
5083,21466.0,12251.933289853721,791.950060560887
5085,73309.0,7229.671663779345,463.7902576764108
5087,16576.0,5851.8339768339765,
5089,16694.0,12339.762789025997,1138.133461123757
5091,43257.0,8461.058325820099,277.4117483875442
5093,40651.0,11168.236943740621,959.3859929645027
5097,8986.0,12797.68528822613,1446.6948586690407
5099,8252.0,9088.705768298594,1211.827435773146
5101,7753.0,12382.303624403457,1676.7702824713015
5103,23382.0,14840.475579505603,1667.9497049012061
5105,10455.0,7173.601147776184,0.0
5107,17782.0,11753.458553593522,1068.4962321448656
5109,10718.0,9703.302855010263,
5111,23528.0,7565.453927235634,552.5331519891193
5113,19964.0,13975.155279503106,2855.139250651172
5115,64072.0,12688.850043700837,1030.0911474591085
5117,8062.0,12031.753907219052,
5119,391911.0,20165.292630214513,2472.5001339589858
5121,17958.0,10357.500835282324,1225.0807439581245
5123,24994.0,8001.920460910618,
5125,122437.0,9417.087971773239,1012.7657489157689
5127,10281.0,11963.816749343448,1069.934831242097
5129,7881.0,11166.095673137926,1395.7619591422408
5131,127827.0,22311.40525866992,3316.9831099845887
5133,17007.0,1058.3877227024166,
5135,17442.0,11695.906432748538,802.6602453847037
